"","week","obsCount","nLists","region"
"1",19,0,2,"Breeding"
"2",20,7,2,"Breeding"
"3",21,1,2,"Breeding"
"4",22,0,2,"Breeding"
"5",23,5,1,"Breeding"
"6",24,3,2,"Breeding"
"7",25,18,3,"Breeding"
"8",26,14,4,"Breeding"
"9",28,569,6,"Breeding"
"10",29,349,8,"Breeding"
"11",30,383,9,"Breeding"
"12",31,9,10,"Breeding"
"13",32,2,4,"Breeding"
"14",33,1,9,"Breeding"
"15",34,5,3,"Breeding"
"16",35,1,6,"Breeding"
"17",36,5,6,"Breeding"
"18",0,0,7,"YS"
"19",1,0,22,"YS"
"20",2,0,23,"YS"
"21",3,1,25,"YS"
"22",4,0,14,"YS"
"23",5,0,17,"YS"
"24",6,2,20,"YS"
"25",7,0,26,"YS"
"26",8,3100,37,"YS"
"27",9,6,34,"YS"
"28",10,962,54,"YS"
"29",11,2128,67,"YS"
"30",12,2068,63,"YS"
"31",13,2860,82,"YS"
"32",14,2642,92,"YS"
"33",15,5289,135,"YS"
"34",16,7128,177,"YS"
"35",17,5889,170,"YS"
"36",18,773,157,"YS"
"37",19,854,156,"YS"
"38",20,173,120,"YS"
"39",21,119,69,"YS"
"40",22,172,43,"YS"
"41",23,9,33,"YS"
"42",24,18,35,"YS"
"43",25,145,33,"YS"
"44",26,86,23,"YS"
"45",27,103,12,"YS"
"46",28,1294,19,"YS"
"47",29,878,22,"YS"
"48",30,77,52,"YS"
"49",31,58,37,"YS"
"50",32,303,35,"YS"
"51",33,1668,48,"YS"
"52",34,454,62,"YS"
"53",35,889,59,"YS"
"54",36,1095,67,"YS"
"55",37,96,57,"YS"
"56",38,1603,64,"YS"
"57",39,4127,61,"YS"
"58",40,1181,71,"YS"
"59",41,99,66,"YS"
"60",42,606,71,"YS"
"61",43,55,67,"YS"
"62",44,73,54,"YS"
"63",45,63,38,"YS"
"64",46,0,25,"YS"
"65",47,2,32,"YS"
"66",48,1,31,"YS"
"67",49,3,42,"YS"
"68",50,1,30,"YS"
"69",51,0,16,"YS"
"70",52,0,20,"YS"
"71",0,1,7,"SK-JPN"
"72",1,0,18,"SK-JPN"
"73",2,0,17,"SK-JPN"
"74",3,0,22,"SK-JPN"
"75",4,0,10,"SK-JPN"
"76",5,0,16,"SK-JPN"
"77",6,0,16,"SK-JPN"
"78",7,0,21,"SK-JPN"
"79",8,3104,31,"SK-JPN"
"80",9,3,33,"SK-JPN"
"81",10,963,40,"SK-JPN"
"82",11,2130,32,"SK-JPN"
"83",12,2027,25,"SK-JPN"
"84",13,2808,22,"SK-JPN"
"85",14,2533,33,"SK-JPN"
"86",15,1833,43,"SK-JPN"
"87",16,473,51,"SK-JPN"
"88",17,770,34,"SK-JPN"
"89",18,206,50,"SK-JPN"
"90",19,441,38,"SK-JPN"
"91",20,104,24,"SK-JPN"
"92",21,0,21,"SK-JPN"
"93",22,50,12,"SK-JPN"
"94",23,2,23,"SK-JPN"
"95",24,3,21,"SK-JPN"
"96",25,99,18,"SK-JPN"
"97",26,30,9,"SK-JPN"
"98",27,104,11,"SK-JPN"
"99",28,1291,12,"SK-JPN"
"100",29,868,15,"SK-JPN"
"101",30,5,17,"SK-JPN"
"102",31,50,29,"SK-JPN"
"103",32,201,12,"SK-JPN"
"104",33,1453,37,"SK-JPN"
"105",34,384,26,"SK-JPN"
"106",35,657,26,"SK-JPN"
"107",36,924,35,"SK-JPN"
"108",37,20,28,"SK-JPN"
"109",38,1578,29,"SK-JPN"
"110",39,3312,25,"SK-JPN"
"111",40,828,30,"SK-JPN"
"112",41,41,26,"SK-JPN"
"113",42,565,23,"SK-JPN"
"114",43,24,26,"SK-JPN"
"115",44,40,21,"SK-JPN"
"116",45,5,17,"SK-JPN"
"117",46,6,20,"SK-JPN"
"118",47,2,15,"SK-JPN"
"119",48,1,8,"SK-JPN"
"120",49,2,17,"SK-JPN"
"121",50,0,16,"SK-JPN"
"122",51,0,7,"SK-JPN"
"123",52,0,10,"SK-JPN"
"124",0,0,13,"MSIA-INDO"
"125",1,7,26,"MSIA-INDO"
"126",2,72,35,"MSIA-INDO"
"127",3,62,33,"MSIA-INDO"
"128",4,18,37,"MSIA-INDO"
"129",5,3,27,"MSIA-INDO"
"130",6,210,21,"MSIA-INDO"
"131",7,23,24,"MSIA-INDO"
"132",8,0,22,"MSIA-INDO"
"133",9,37,34,"MSIA-INDO"
"134",10,1,16,"MSIA-INDO"
"135",11,56,21,"MSIA-INDO"
"136",12,66,46,"MSIA-INDO"
"137",13,1,41,"MSIA-INDO"
"138",14,5,32,"MSIA-INDO"
"139",15,3,28,"MSIA-INDO"
"140",16,54,26,"MSIA-INDO"
"141",17,0,17,"MSIA-INDO"
"142",18,8,15,"MSIA-INDO"
"143",19,141,15,"MSIA-INDO"
"144",20,1,22,"MSIA-INDO"
"145",21,25,12,"MSIA-INDO"
"146",22,1,14,"MSIA-INDO"
"147",23,6,12,"MSIA-INDO"
"148",24,17,13,"MSIA-INDO"
"149",25,16,21,"MSIA-INDO"
"150",26,8,24,"MSIA-INDO"
"151",27,32,17,"MSIA-INDO"
"152",28,24,23,"MSIA-INDO"
"153",29,0,16,"MSIA-INDO"
"154",30,3,16,"MSIA-INDO"
"155",31,7,33,"MSIA-INDO"
"156",32,5,22,"MSIA-INDO"
"157",33,219,38,"MSIA-INDO"
"158",34,54,35,"MSIA-INDO"
"159",35,263,49,"MSIA-INDO"
"160",36,29,27,"MSIA-INDO"
"161",37,2,24,"MSIA-INDO"
"162",38,24,39,"MSIA-INDO"
"163",39,129,36,"MSIA-INDO"
"164",40,22,40,"MSIA-INDO"
"165",41,71,35,"MSIA-INDO"
"166",42,80,40,"MSIA-INDO"
"167",43,12,32,"MSIA-INDO"
"168",44,512,16,"MSIA-INDO"
"169",45,864,26,"MSIA-INDO"
"170",46,89,21,"MSIA-INDO"
"171",47,1,18,"MSIA-INDO"
"172",48,1,22,"MSIA-INDO"
"173",49,30,19,"MSIA-INDO"
"174",50,100,16,"MSIA-INDO"
"175",51,295,18,"MSIA-INDO"
"176",52,1,14,"MSIA-INDO"
"177",53,0,2,"MSIA-INDO"
"178",0,1,6,"NW_AUS"
"179",1,234,33,"NW_AUS"
"180",2,28,39,"NW_AUS"
"181",3,29,33,"NW_AUS"
"182",4,12,42,"NW_AUS"
"183",5,72,60,"NW_AUS"
